# phone_timestamp_us, pc_timestamp_us
113718270114, 1781790274428569
113718303459, 1781790274461754
113718336804, 1781790274505639
113718370149, 1781790274528536
113718403495, 1781790274561686
113718436840, 1781790274594988
113718470185, 1781790274628464
113718503530, 1781790274661955
113718536875, 1781790274695340
113718570221, 1781790274728657
113718603566, 1781790274761374
113718636911, 1781790274794770
113718670256, 1781790274828574
113718703602, 1781790274861357
113718736947, 1781790274901420
113718770292, 1781790274935539
113718803637, 1781790274962374
113718836983, 1781790274995306
113718870328, 1781790275029671
113718903673, 1781790275061780
113718937018, 1781790275095045
113718970363, 1781790275128521
113719003709, 1781790275161533
113719037054, 1781790275194978
113719070399, 1781790275228907
113719103744, 1781790275261889
113719137090, 1781790275305642
113719170435, 1781790275328527
113719203780, 1781790275361964
113719237125, 1781790275395427
113719270471, 1781790275428602
113719303816, 1781790275461488
113719337161, 1781790275495056
113719370506, 1781790275528620
113719403851, 1781790275561973
113719437197, 1781790275595399
113719470542, 1781790275628641
113719503887, 1781790275661431
113719537232, 1781790275694768
113719570578, 1781790275728431
113719603923, 1781790275761197
113719637268, 1781790275798598
113719670613, 1781790275828622
113719703959, 1781790275862126
113719737304, 1781790275895775
113719770649, 1781790275928767
113719803994, 1781790275961897
113719837339, 1781790275994923
113719870685, 1781790276028916
113719904030, 1781790276062001
113719937375, 1781790276095017
113719970720, 1781790276128238
113720004066, 1781790276161842
113720037411, 1781790276195275
113720070756, 1781790276228157
113720104101, 1781790276261526
113720137447, 1781790276294832
113720170792, 1781790276328477
113720204137, 1781790276361365
113720237482, 1781790276395164
113720270827, 1781790276432853
113720304173, 1781790276462388
113720337518, 1781790276495967
113720370863, 1781790276528316
113720404208, 1781790276561536
113720437554, 1781790276594461
113720470899, 1781790276628550
113720504244, 1781790276661363
113720537589, 1781790276697414
113720570934, 1781790276729916
113720604280, 1781790276762076
113720637625, 1781790276794644
113720670970, 1781790276828596
113720704315, 1781790276861360
113720737660, 1781790276895185
113720771006, 1781790276928281
113720804351, 1781790276961544
113720837696, 1781790276998844
113720871041, 1781790277032229
113720904387, 1781790277061955
113720937732, 1781790277094741
113720971077, 1781790277128180
113721004422, 1781790277161490
113721037767, 1781790277194600
113721071113, 1781790277228452
113721104458, 1781790277261388
113721137803, 1781790277298278
113721171148, 1781790277328566
113721204494, 1781790277362168
113721237839, 1781790277395132
113721271184, 1781790277428295
113721304529, 1781790277461256
113721337874, 1781790277494754
113721371220, 1781790277528533
113721404565, 1781790277561944
113721437910, 1781790277594840
113721471255, 1781790277628817
113721504601, 1781790277661993
113721537946, 1781790277694675
113721571291, 1781790277728166
113721604636, 1781790277761663
113721637981, 1781790277794537
113721671327, 1781790277828504
113721704672, 1781790277861571
113721738017, 1781790277895059
113721771362, 1781790277928435
113721804707, 1781790277961653
113721838053, 1781790277994624
113721871398, 1781790278028324
113721904743, 1781790278061499
113721938088, 1781790278094985
113721971433, 1781790278128381
113722004779, 1781790278161672
113722038124, 1781790278201277
113722071469, 1781790278228284
113722104814, 1781790278262144
113722138160, 1781790278294810
113722171505, 1781790278328461
113722204850, 1781790278361568
113722238195, 1781790278394987
113722271540, 1781790278428179
113722304886, 1781790278461331
113722338231, 1781790278494903
113722371576, 1781790278528515
113722404921, 1781790278561766
113722438266, 1781790278595271
113722471612, 1781790278628578
113722504957, 1781790278661845
113722538302, 1781790278694435
113722571647, 1781790278728350
113722604992, 1781790278762345
113722638338, 1781790278809452
113722671683, 1781790278828498
113722705028, 1781790278862167
113722738373, 1781790278895387
113722771719, 1781790278928793
113722805064, 1781790278962204
113722838409, 1781790278995366
113722871754, 1781790279033023
113722905099, 1781790279061981
113722938445, 1781790279094651
113722971790, 1781790279128627
